Line_Count File_Name
      47317 cdr_120_7006_2025-03-05-13-30-00.2332.csv
      55436 cdr_120_7006_2025-03-05-14-00-00.2333.csv
      62489 cdr_120_7006_2025-03-05-14-30-00.2334.csv
      59629 cdr_120_7006_2025-03-05-15-00-00.2335.csv
      90700 cdr_120_7006_2025-03-05-15-30-00.2336.csv
      76315 cdr_120_7006_2025-03-05-16-00-00.2337.csv
      52154 cdr_120_7006_2025-03-05-16-30-00.2338.csv
      57389 cdr_120_7006_2025-03-05-17-00-00.2339.csv
      61070 cdr_120_7006_2025-03-05-17-30-00.2340.csv
      64335 cdr_120_7006_2025-03-05-18-00-00.2341.csv
      79772 cdr_120_7006_2025-03-05-18-30-00.2342.csv
      65491 cdr_120_7006_2025-03-05-19-00-00.2343.csv
      71875 cdr_120_7006_2025-03-05-19-30-00.2344.csv
      40934 cdr_120_7006_2025-03-05-20-00-00.2345.csv
      36525 cdr_120_7006_2025-03-05-20-30-00.2346.csv
      37107 cdr_120_7006_2025-03-05-21-00-00.2347.csv
      31180 cdr_120_7006_2025-03-05-21-30-00.2348.csv
      24330 cdr_120_7006_2025-03-05-22-00-00.2349.csv
      20162 cdr_120_7006_2025-03-05-22-30-00.2350.csv
      17381 cdr_120_7006_2025-03-05-23-00-00.2351.csv
      11232 cdr_120_7006_2025-03-05-23-30-00.2352.csv
          0 cdr_120_7007_2025-03-05-00-00-00.2306.csv
          0 cdr_120_7007_2025-03-05-00-30-00.2307.csv
          0 cdr_120_7007_2025-03-05-01-00-00.2308.csv
          0 cdr_120_7007_2025-03-05-01-30-00.2309.csv
          0 cdr_120_7007_2025-03-05-02-00-00.2310.csv
          0 cdr_120_7007_2025-03-05-02-30-00.2311.csv
          0 cdr_120_7007_2025-03-05-03-00-00.2312.csv
          0 cdr_120_7007_2025-03-05-03-30-00.2313.csv
          0 cdr_120_7007_2025-03-05-04-00-00.2314.csv
          0 cdr_120_7007_2025-03-05-04-30-00.2315.csv
          0 cdr_120_7007_2025-03-05-05-00-00.2316.csv
          0 cdr_120_7007_2025-03-05-05-30-00.2317.csv
          0 cdr_120_7007_2025-03-05-06-00-00.2318.csv
          0 cdr_120_7007_2025-03-05-06-30-00.2319.csv
          0 cdr_120_7007_2025-03-05-07-00-00.2320.csv
          0 cdr_120_7007_2025-03-05-07-30-00.2321.csv
          0 cdr_120_7007_2025-03-05-08-00-00.2322.csv
          0 cdr_120_7007_2025-03-05-08-30-00.2323.csv
          0 cdr_120_7007_2025-03-05-09-00-00.2324.csv
          0 cdr_120_7007_2025-03-05-09-30-00.2325.csv
      35747 cdr_120_7007_2025-03-05-10-00-00.2326.csv
      30458 cdr_120_7007_2025-03-05-10-30-00.2327.csv
       7246 cdr_120_7007_2025-03-05-11-00-00.2328.csv
      12659 cdr_120_7007_2025-03-05-11-30-00.2329.csv
       9254 cdr_120_7007_2025-03-05-12-00-00.2330.csv
      10091 cdr_120_7007_2025-03-05-12-30-00.2331.csv
      15914 cdr_120_7007_2025-03-05-13-00-00.2332.csv
      23907 cdr_120_7007_2025-03-05-13-30-00.2333.csv
      41785 cdr_120_7007_2025-03-05-14-00-00.2334.csv
      29210 cdr_120_7007_2025-03-05-14-30-00.2335.csv
      36587 cdr_120_7007_2025-03-05-15-00-00.2336.csv
      65104 cdr_120_7007_2025-03-05-15-30-00.2337.csv
      20553 cdr_120_7007_2025-03-05-16-00-00.2338.csv
      14519 cdr_120_7007_2025-03-05-16-30-00.2339.csv
      13658 cdr_120_7007_2025-03-05-17-00-00.2340.csv
       6804 cdr_120_7007_2025-03-05-17-30-00.2341.csv
      12415 cdr_120_7007_2025-03-05-18-00-00.2342.csv
       5563 cdr_120_7007_2025-03-05-18-30-00.2343.csv
       4738 cdr_120_7007_2025-03-05-19-00-00.2344.csv
       5781 cdr_120_7007_2025-03-05-19-30-00.2345.csv
       7184 cdr_120_7007_2025-03-05-20-00-00.2346.csv
       3872 cdr_120_7007_2025-03-05-20-30-00.2347.csv
          0 cdr_120_7007_2025-03-05-21-00-00.2348.csv
          0 cdr_120_7007_2025-03-05-21-30-00.2349.csv
          0 cdr_120_7007_2025-03-05-22-00-00.2350.csv
          0 cdr_120_7007_2025-03-05-22-30-00.2351.csv
          0 cdr_120_7007_2025-03-05-23-00-00.2352.csv
          0 cdr_120_7007_2025-03-05-23-30-00.2353.csv
        142 cdr_120_7019_2025-03-05-00-00-00.2306.csv
        139 cdr_120_7019_2025-03-05-00-30-00.2307.csv
         15 cdr_120_7019_2025-03-05-01-00-00.2308.csv
        197 cdr_120_7019_2025-03-05-01-30-00.2309.csv
       6785 cdr_120_7019_2025-03-05-02-00-00.2310.csv
         75 cdr_120_7019_2025-03-05-02-30-00.2311.csv
         51 cdr_120_7019_2025-03-05-03-00-00.2312.csv
         72 cdr_120_7019_2025-03-05-03-30-00.2313.csv
         23 cdr_120_7019_2025-03-05-04-00-00.2314.csv
          3 cdr_120_7019_2025-03-05-04-30-00.2315.csv
          7 cdr_120_7019_2025-03-05-05-00-00.2316.csv
          7 cdr_120_7019_2025-03-05-05-30-00.2317.csv
         92 cdr_120_7019_2025-03-05-06-00-00.2318.csv
        580 cdr_120_7019_2025-03-05-06-30-00.2319.csv
        685 cdr_120_7019_2025-03-05-07-00-00.2320.csv
        726 cdr_120_7019_2025-03-05-07-30-00.2321.csv
       2841 cdr_120_7019_2025-03-05-08-00-00.2322.csv
       1766 cdr_120_7019_2025-03-05-08-30-00.2323.csv
      20183 cdr_120_7019_2025-03-05-09-00-00.2324.csv
       4867 cdr_120_7019_2025-03-05-09-30-00.2325.csv
      37863 cdr_120_7019_2025-03-05-10-00-00.2326.csv
      16555 cdr_120_7019_2025-03-05-10-30-00.2327.csv
      15941 cdr_120_7019_2025-03-05-11-00-00.2328.csv
      57608 cdr_120_7019_2025-03-05-11-30-00.2329.csv
      15318 cdr_120_7019_2025-03-05-12-00-00.2330.csv
      13984 cdr_120_7019_2025-03-05-12-30-00.2331.csv
      11468 cdr_120_7019_2025-03-05-13-00-00.2332.csv
       8155 cdr_120_7019_2025-03-05-13-30-00.2333.csv
       7430 cdr_120_7019_2025-03-05-14-00-00.2334.csv
      11438 cdr_120_7019_2025-03-05-14-30-00.2335.csv
      11140 cdr_120_7019_2025-03-05-15-00-00.2336.csv
